# created: Thu Nov 14 02:00:04 2013
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
9207|4|ko|만걸!
351|4|ja|だぁ! だぁ! だぁ!
2999|4|ja|とべ! くじらのピーク
6817|2|ko|폴트!!
6093|2|ja|ゴー!ゴー!アックマン
1925|4|th|ดร.สลัมป์ และหนูน้อยอาราเล่
1350|2|ja|ソル·ビアンカ
711|2|ja|ヴィ·デュラン
4904|4|ja|アチ&シパカ
5067|4|ja|ハル&ボンス
7058|4|ja|バツ&テリー
8881|4|ja|いじめ
4570|3|ja|いろは
5505|4|ja|おしん
8439|4|ja|おまけ
3214|4|ja|かりん
4004|2|ja|きらら
6874|4|ja|くじら
7419|4|ja|くだん
3476|4|ja|しずく
7476|4|ja|ちんか
8770|4|ja|どろろ
925|4|ja|みゆき
5845|4|ja|めぐみ
5052|4|ja|もっけ
2500|4|ja|もみじ
3954|4|ja|よいこ
430|2|ja|アイル
7938|4|ja|アオス
3446|3|ja|アカギ
28|4|ja|アキラ
8028|4|ja|アニマ
4448|4|ja|アリス
7462|2|ja|イズモ
8913|4|ja|オズマ
5673|4|ja|カイバ
9440|4|ja|カナイ
6275|4|ja|カナン
15|2|ja|カノン
3463|4|ja|カペタ
657|2|ja|カレン
9840|4|ja|ガロン
2400|4|ja|ガンツ
5165|4|ja|サスケ
5836|4|ja|シオン
1382|4|ja|ゾイド
241|4|ja|タッチ
1468|4|ja|ダロス
9683|4|ja|チルリ
5436|4|ja|トトイ
7227|4|ja|トリコ
2922|2|ja|トーイ
3147|4|ja|ナイン
239|2|ja|ナルト
3988|2|ja|ノーラ
8858|4|ja|ハルヲ
6651|4|ja|バトン
2640|4|ja|バース
9338|4|ja|パクシ
1237|3|ja|パワド
5230|4|ja|ヘヴィ
2320|4|ja|ベック
7337|4|ja|ペコラ
3447|2|ja|ボイン
8596|4|ja|ポップ
450|4|ja|マウス
5696|4|ja|マーズ
3999|2|ja|モモコ
1267|4|ja|ユニコ
3414|4|ja|ラムネ
3656|4|ja|レック
8532|3|ja|ロボガ
357|4|ja|ンート
2264|2|ko|각음색
638|4|ko|갓슈벨
239|4|ko|나루토
1847|2|ko|대악사
1749|2|ko|동생즙
3414|2|ko|라무네
580|4|ko|라제폰
3452|2|ko|레퀴엠
2500|2|ko|모미지
3433|2|ko|무시시
1574|2|ko|미다라
1972|2|ko|미망인
7504|2|ko|미숙모
4681|4|ko|바텐더
1264|4|ko|붉은매
2369|4|ko|블리치
5359|2|ko|사무처
10220|4|ko|사이비
7704|2|ko|상복처
92|4|ko|샤만킹
4353|2|ko|성항녀
2145|2|ko|스이카
1347|2|ko|신체조
5358|2|ko|아네키
1868|4|ko|암굴왕
174|2|ko|애자매
4067|2|ko|여고생
1983|2|ko|여교사
6099|4|ko|염라국
1053|4|ko|오세암
69|4|ko|원피스
776|2|ko|웨이버
9606|4|ko|은수저
4739|2|ko|음요충
8926|4|ko|쥬블스
12|4|ko|쵸빗츠
2179|4|ko|카라스
3463|4|ko|카페타
1552|2|ko|케로로
7873|2|ko|프랙탈
7900|2|ko|프리징
4476|4|ko|플래그
1973|2|ko|화노예
6684|2|ko|횡련모
7009|4|ja|れでぃ×ばと!
4832|4|ja|ロミオ×ジュリエット
399|4|ko|최유기 - 선택받지 못한 자의 진혼가
1272|2|ko|긴박의 관
9322|4|ko|돼지의 왕
9715|4|ko|따개비 루
627|2|ko|맨발의 겐
2028|2|ko|모즈의 지
1066|2|ko|비색의 각
1419|4|ko|아기와 나
2111|2|ko|요향의 검
8104|2|ko|음요충 열 ~괴락 변화 퇴마록~
5764|2|ko|음요충 식 ~능욕촉수섬 퇴마록~
211|4|ko|북두의 권 - 세기말구세주전설
331|4|ko|천공의 성 라퓨타
5424|4|ko|아리아 디 오리지네이션
2530|4|ja|リトル ニモ
1811|4|ko|개구리 소년
9213|4|ko|그림자 사랑
8284|4|ko|까치의 날개
1944|2|ko|능욕의 연쇄
9633|4|ko|도깨비 감투
6238|4|ko|동쪽의 에덴
4547|2|ko|두명의 형수
8250|4|ko|떠돌이 까치
8209|4|ko|로망은 없다
9731|4|ko|로보카 폴리
5543|2|ko|리조트 보잉
266|4|ko|명탐정 코난
4652|4|ko|미소의 세상
9514|4|ko|바람이 분다
528|2|x-kot|바이블 블랙
658|2|ko|배덕의 소녀
4081|2|ko|배덕의 아내
9716|4|ko|범퍼킹 재퍼
5638|2|ko|사랑의 형태
4|4|ko|성계의 전기
4995|2|ko|세탁소 신짱
4821|4|ko|세토의 신부
2516|2|ko|속죄의 교실
2032|2|ko|시체를 닦다
4904|4|ko|아치와 씨팍
4253|2|ko|어두운 미래
933|2|ko|열사의 혹성
9457|2|ko|엿보기 구멍
434|4|ko|요리왕 비룡
5132|4|ko|이브의 시간
3408|4|ko|작안의 샤나
9541|4|ko|진격의 거인
6424|4|ko|크로스 게임
9525|4|ko|타마코 마켓
604|4|ko|파름의 나무
9612|4|ko|홍길동 장군
3430|2|x-kot|바이블 블랙 온리
829|2|ko|바이블 블랙 외전
2291|4|ko|왈가닥 작은 아씨
6553|2|ko|유부녀 교간 일기
3436|4|ko|폭풍우 치는 밤에
7941|4|ko|그리스 로마 신화-올림포스 가디언
4776|4|ja|デビル メイ クライ
1552|4|ko|개구리 중사 케로로
6946|2|ko|그녀는 신부 후보생
5718|2|ko|꽃가루 소녀 주의보
9597|4|ko|똘이와 제타 로보트
2589|4|ko|레스톨 특수 구조대
8441|4|ko|바다의 전설 장보고
73|4|ko|바람의 검심 추억편
158|2|ko|비탄의 건강 우량아
2962|2|ko|유부녀 능욕 참관일
4388|4|ko|작안의 샤나 극장판
2501|4|ja|メイド イン ドリーム
235|2|ko|미소녀 전사 세일러문
8595|2|ko|바람의 검심 신쿄토편
891|4|ko|사랑의 천사 웨딩피치
1978|2|ja|タワー オブ エトルリア
9242|4|ko|비비드 레드 오퍼레이션
412|2|ja|ゾーン オブ エンダーズ ドロレス・アイ
2175|2|ja|ありす イン サイバーランド
469|4|ko|구름의 저편, 약속의 장소
867|4|ko|명탐정 코난: 베이커가의 망령
8606|2|ja|ドット ハック
8772|4|ko|고스트 메신저
9645|4|ko|꾸러기 발명왕
6466|4|ko|너에게 닿기를
9596|4|ko|다윗과 골리앗
5031|2|ko|대마인 아사기
3513|4|ko|독수리 오형제
1207|2|ko|란제리 오피스
4252|2|ko|미세스 중독자
335|4|ko|바다가 들린다
5321|4|ko|별나라 삼총사
8044|4|ko|아빠가 필요해
8114|2|ko|여닌자 사쿠야
1022|4|ko|원더풀 데이즈
303|4|ko|이웃집 토토로
4146|4|ko|제로의 사역마
3950|2|ko|천국의 메이드
1081|4|ko|최유기 리로드
2603|2|ko|치한자 토마스
2693|2|ko|판치라 선생님
9594|4|ko|해돌이 대모험
34|4|ko|후르츠 바스켓
2776|4|ko|금색의 갓슈벨 - 메카 발칸의 역습
9453|2|ko|고양이 이야기 (흑)
2884|2|ko|미미의 컴퓨터 여행
7435|2|ko|세기말 오컬트 학원
4151|4|ko|시간을 달리는 소녀
4924|2|ko|아내와 마마와 보잉
6547|2|ko|암쿄사 음욕의 교실
7315|2|ko|전설의 용자의 전설
7929|2|ko|그녀가 문병을 오지 않는 이유
6419|2|ko|당신이 모르는 간호사
9650|2|ko|똘이와 백공룡 티라노
40|2|ko|신비한 바다의 나디아
3348|4|ko|페이트 스테이 나이트
8950|4|ko|불사조 로보트 피닉스킹
4472|2|ja|ナイト ヘッド ジェネシス
7677|2|ko|손끝의 안내인 애액천지의 접대
7971|2|ko|성흔의 퀘이서: 여제의 초상
4915|4|ko|제로의 사역마: 쌍월의 기사
5635|4|ko|제로의 사역마: 삼미희의 윤무
1170|4|ja|デッド リーブス
7342|4|ja|ボ～イ フレンド
979|4|ko|강철의 연금술사
9609|4|ko|날아라 원더공주
4691|4|ko|노다메 칸타빌레
9711|4|ko|둘리의 배낭여행
234|4|ko|디지몬 어드벤쳐
8789|4|ko|로보트 태권브이
311|4|ko|마법진 구루구루
4891|4|ko|바람의 스티그마
8583|4|ko|윤회의 라그랑주
6788|4|ko|쥬로링 동물탐정
1113|2|ko|프론트 이노센트
5912|2|ko|형수는 고집쟁이
9637|4|ko|호피와 차돌바위
3317|4|ko|츠바사 클로니클 - 새장 나라의 공주
2359|4|ko|강철의 연금술사 - 샴발라의 정복자
1843|2|ko|유부녀 코스프레 찻집
