# created: Thu Nov 14 02:00:04 2013
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
480|1|x-jat|G-on Riders
480|4|fr|G-on Riders
7964|2|en|Gon, the Little Fox
765|3|en|Goodbye 999
765|2|en|Goodbye Galaxy Railway 999: Andromeda Terminal
5083|2|en|Goodbye Teacher Despair
5576|2|en|Goodbye Teacher Despair Extreme
9239|2|ja|ありさ Good Luck
9239|4|ja|ありさ☆Good Luck
5188|2|en|Good Luck! Ninomiya-kun
3350|4|ja|Good Morning アルテア
3350|1|x-jat|Good Morning Althea
1255|1|x-jat|Good Morning Call
4172|3|en|Good Witch
4172|2|en|Good Witch of the West
1816|4|fr|Gordian
1816|4|it|Gordian
1816|2|fr|Gordian et la panthère d`acier
1816|2|en|Gordian the Warrior
1480|2|en|Gorilla Force
6573|1|x-jat|Gorillaman
1210|2|pl|Górogłowa
1865|2|x-jat|Gosenzo-sama Banbanzai!
1865|1|x-jat|Gosenzosama Banbanzai!
1866|2|en|Gosenzosama Banbanzai! the Movie
1021|1|x-jat|Gosenzo San`e
7719|2|x-jat|Goshiku
4636|4|fr|Gosho Aoyama`s Collection of Short Stories
7191|2|en|Gosho Aoyama`s Collection of Short Stories 2
1481|2|en|GoShogun
944|4|pt-BR|GoShogun - O Estrangeiro do Tempo
944|2|en|Goshogun: The Time Etranger
1196|3|x-jat|goshu
1196|4|de|Goshu, der Cellist - Tiere sind seine Lehrmeister
1196|4|es|Goshu el Violoncelista
1196|4|fr|Goshu le violoncelliste
1196|2|en|Goshu the Cellist
5188|1|x-jat|Goshuushou-sama Ninomiya-kun
2709|4|is|Gosi
7719|1|x-jat|Gosick
7719|4|ja|GOSICK -ゴシック-
9309|2|en|Gospel in the Future
1422|4|de|Gota-Man
332|3|en|GotF
8618|1|x-jat|Gothicmade: Hana no Utame
8618|4|ja|GOTHICMADE -花の詩女-
4184|2|x-jat|Gotou ni Naritai
1481|2|it|Gotriniton
7311|1|x-jat|Goulart Knights: Evoked the Beginning Black
9035|1|x-jat|Goulart Knights: Evoked the Beginning White
2082|1|x-jat|Gou-Q-Chouji Ikkiman
4073|2|en|Government Crime Investigation Agent Zaizen Jotaro
4534|2|en|Gowappa 5 Gordam
4534|2|en|Go Wapper 5 Go Dam
4534|1|x-jat|Gowapper 5 Godam
4534|2|x-jat|Gowapper-5 Gordam
276|3|x-jat|Gowcaizer
5790|1|x-jat|GO! Wrestler Gundan
7248|4|fr|Goyô
7248|3|x-jat|goyou
3961|2|pt|Gozaurer
909|4|hu|Gőzfiú
1577|2|x-jat|Gozonji! Gekko Kamen-kun
1577|1|x-jat|Gozonji! Gekkou Kamen-kun
5717|4|fr|Gozura
5790|4|ja|GO!レスラー軍団
518|3|x-jat|GPM
3465|3|x-jat|GPO
2463|2|en|GPX Cyber Formula Double-One
2462|3|x-jat|gpx zero
1000|3|en|gr
4916|3|ja|GR
4916|4|ja|GR -ジャイアントロボ-
4692|3|en|gr2
1969|2|en|Graduate
1362|2|en|Graduation M
1362|2|en|Graduation M: Our Carnival
1242|2|en|Graduation: Sailor Victory
1868|2|lt|Grafas Montekristas
1000|3|en|grail
3077|4|fr|Graine de champion
1004|2|x-jat|Grandeek Gaiden
1004|2|en|Grandeek Sidestory
1004|4|ja|GRANDEEK THE ALTERNATIVE
1004|1|x-jat|Grandeek: The Alternative
1004|2|ja|GRANDEEK 外伝
2232|1|x-jat|Grander Musashi RV
8256|2|en|Grandfather`s Lamp
962|4|en|Grandizer
1652|2|en|Grandizer, Getter Robot G, Great Mazinger Decisive Battle! The Great Sea Monster
8426|4|en|Grandma and Her Ghosts
1632|3|x-jat|GranDoll
1632|3|x-jat|Gran Doll
4371|4|en|Grandpa Danger
1681|4|fi|Grand Prix
1681|4|hu|Grand Prix
1681|4|pl|Grand Prix
1681|4|fr|Grand Prix
1681|4|it|Grand Prix e il campionissimo
531|3|x-jat|Grandzort
956|4|es|Gran Mazinger
3093|4|en|Granny Mischief (1996)
531|4|pt-BR|Granzote e os Guerreiros a Luz
2354|4|pt-BR|Granzote e os Guerreiros da Luz
1512|1|x-jat|Grappler Baki
453|1|x-jat|Grappler Baki (2001)
880|2|en|Grappler Baki Chapter of The Maximum Tournament
880|2|x-jat|Grappler Baki Saidai Tournament Hen
880|1|x-jat|Grappler Baki: Saidai Tournament Hen
1512|4|en|Grappler Baki: The Ultimate Fighter
453|2|x-jat|Grappler Baki TV
880|2|x-jat|Grappler Baki TV 2
332|4|en|Grave of the Fireflies
5614|4|en|Graveyard Kitarou
472|4|pt|Gravion
472|4|en|Gravion
1329|3|x-jat|Gravion 2
1329|4|fr|Gravion - Partie 2
1329|3|x-jat|Gravion Two
1329|4|en|Gravion Zwei
1329|4|pt|Gravion Zwei
94|4|ro|Gravitation
94|4|fr|Gravitation
94|4|pl|Gravitation
94|4|hu|Gravitation
371|1|x-jat|Gravitation
94|4|cs|Gravitation
94|4|de|Gravitation
94|1|x-jat|Gravitation (2000)
371|2|en|Gravitation: Lyrics of Love
371|4|fr|Gravitation - OAV
371|4|pl|Gravitation OVA
371|4|de|Gravitation OVA
94|2|x-jat|Gravitation TV
371|4|ru|Gravitation: Парни со сцены
4549|2|x-jat|Grayman
3172|4|en|Great Adventure of Columbus
1232|2|en|Great Conquest: Romance of Three Kingdoms
479|4|en|Great Dangaioh
2161|2|en|Great Detectives Poirot and Marple
2289|2|en|Great Dog Lassie
1807|2|en|Great God Legend Ideon
956|1|x-jat|Great Mazinger
2223|4|fr|Great Mazinger - Les aventuriers de la galaxie
2221|1|x-jat|Great Mazinger Tai Getter Robo
2223|1|x-jat|Great Mazinger-tai Getter Robo G: Kuuchuu Dai-Gekitotsu
2221|2|en|Great Mazinger Vs. Getter Robo
2223|2|en|Great Mazinger Vs. Getter Robo G: The Great Space Encounter
919|2|en|Great Planet Evil-Destroyer Dangaio
191|4|en|Great Teacher Onizuka
191|4|de|Great Teacher Onizuka
191|4|pl|Great Teacher Onizuka
1473|2|en|Great War of the Demon of Illusions: The Chapter of the Previous Night of the Myth
1472|2|en|Great War with Genma
1771|2|en|Great Yamato No. Zero
2493|1|x-jat|Greed
2493|4|ja|GREED
545|2|x-jat|Greed Island
1427|2|x-jat|Greed Island Final
7941|2|en|Greek Roman Mythology: Olympus Guardian
7941|1|x-kot|Greek Roman Sinhwa Olympus Guardian
8425|4|ko|소중한 날의 꿈 Green Days
8425|2|en|Green Days
2440|3|x-jat|Green Divers
834|4|pl|Green Green
510|1|x-jat|Green Green
1333|2|x-jat|Green Green 13
834|1|x-jat|Green Green (2003)
1333|2|en|Green Green Erolutions
510|2|x-jat|Green Green OVA
1333|1|x-jat|Green Green Thirteen Erolutions
834|2|x-jat|Green Green TV
421|2|en|Green jacket
322|4|de|Green Legend Ran
322|1|x-jat|Green Legend Ran
3156|2|en|Green Makibao, The Incredible Race Horse
1055|3|x-jat|Greenwood
1055|3|en|Green Wood
2235|1|x-jat|Gregory Horror Show
8018|1|x-jat|Gregory Horror Show: The Bloody Karte
8017|1|x-jat|Gregory Horror Show: The Last Train
8016|1|x-jat|Gregory Horror Show: The Second Guest
510|3|x-jat|gregre
7278|2|lt|Greitasis Naktinis Reidas
2326|4|hu|Grenadier
2326|3|x-jat|Grenadier
2326|4|de|Grenadier
2326|4|fr|Grenadier
2326|1|x-jat|Grenadier: Hohoemi no Senshi
2326|4|en|Grenadier The Beautiful Warrior
2326|2|en|Grenadier ~The Smiling Senshi~
1652|2|en|Grendizer, Getter Robo G, Great Mazinger Decisive Battle! The Great Sea Monster
1652|1|x-jat|Grendizer, Getter Robo G, Great Mazinger: Kessen! Daikaijuu!
1868|2|da|Greven af Monte Christo
1868|2|da|Greven af Monte-Cristo
1515|4|ja|GREY デジタル・ターゲット
1515|4|fr|Grey - Cible digitale
1515|1|x-jat|Grey: Digital Target
3541|3|x-jat|grgg
4916|1|x-jat|GR -Giant Robo-
6634|1|x-jat|Grick no Bouken
947|3|x-jat|Grimm
2316|1|x-jat|Grimm Douwa: Kin no Tori
2316|2|en|Grimm Fairy Tale: The Golden Bird
947|4|hu|Grimm legszebb meséi
1751|4|hu|Grimm legszebb meséi (2)
947|2|en|Grimm Masterpiece Playhouse
947|2|en|Grimm Masterpiece Theater
947|2|en|Grimm Masterpiece Theatre
947|1|x-jat|Grimm Meisaku Gekijou
947|4|en|Grimm`s Fairy Tale Classics
1751|4|en|Grimm`s Fairy Tale Classics (2)
947|2|en|Grimm`s Fairy Tales
1751|2|en|Grimm`s Fairy Tales II
2316|2|en|Grimm`s Fairy Tales: The Golden Bird
947|4|de|Grimms Märchen
1751|4|de|Grimms Märchen (2. Staffel)
9749|1|x-jat|Grisaia no Kajitsu
332|4|pl|Grobowiec świetlików
2237|1|x-jat|Groizer X
2237|2|en|Groizer X
125|2|ja|GROOVE ADVENTURE RAVE
125|1|x-jat|Groove Adventure Rave
125|4|ja|GROOVE ADVENTURE RAVE [レイヴ]
5542|2|ko|Grope: 어둠속의 작은 새들
5542|2|en|Grope: Little Birds in the Darkness
1605|2|en|Groper Train
5542|1|x-jat|Grope: Yami no Naka no Kotori-tachi
5542|4|ja|Grope ～闇の中の小鳥たち～
7903|4|en|Ground Control to Psychoelectric Girl
444|2|en|Ground Defence Mao-chan
444|2|en|Ground Defense Force! Mao-chan
3345|4|ja|GROWLANSER IV Wayfarer of the time
3345|1|x-jat|Growlanser IV: Wayfarer of the Time
3345|2|en|Growlanser IV: Wayfarer of Time
2237|2|it|Groyzer X
2237|2|x-jat|Groyzer-X
1736|4|en|Grrl Power!
6113|3|x-jat|GRZ
252|3|x-jat|GS
2186|3|x-jat|gs2
2445|3|x-jat|GS Astray
45|3|x-jat|GSC
2186|3|x-jat|GSD
4170|2|en|GSD: Episode 51
4170|3|x-jat|GSD: Final Plus
4170|3|x-jat|GSD: FP
4457|3|x-jat|GSD SE I
4466|3|x-jat|GSD SE II
4758|3|x-jat|GSD SE III
4905|3|x-jat|GSD SE IV
4457|3|x-jat|GSD Special Edition I
4466|3|x-jat|GSD Special Edition II
4758|3|x-jat|GSD Special Edition III
4905|3|x-jat|GSD Special Edition IV
252|3|x-jat|G SEED
8574|1|x-jat|G Senjou no Higeki
1002|3|en|GSG
5418|3|en|GSG2
2096|3|x-jat|gs mikami
3126|2|en|G Spot Express
3126|4|en|G-Spot Express
1686|3|x-jat|GSR
4169|3|x-jat|GS SE I
4168|3|x-jat|GS SE II
4165|3|x-jat|GS SE III
4169|3|x-jat|GS Special Edition I
4168|3|x-jat|GS Special Edition II
4165|3|x-jat|GS Special Edition III
4366|3|x-jat|GS Stargazer
6031|3|x-jat|gszs
2096|4|ja|GS[ゴーストスイーパー]美神
2096|2|ja|GS美神
1506|4|ja|GS[ゴーストスイーパー]美神 極楽大作戦!!
1506|2|ja|GS美神 極楽大作戦!!
233|4|ja|ドラゴンボールGT
511|1|x-jat|G-taste
511|4|fr|G-taste
511|4|pl|G-Taste
511|4|de|G-taste
7668|1|x-jat|G-taste (2010)
7668|4|ja|G-taste (2010)
191|1|x-jat|GTO
191|4|ja|GTO(グレート・ティーチャー・オニヅカ)
191|4|it|G.T.O. - Great Teacher Onizuka
191|4|fr|GTO - Great Teacher Onizuka
4307|3|x-jat|GTR
4307|4|ja|G.T.R
4307|1|x-jat|G.T.R G-cup Teacher Rei
233|4|he|GT דרגון בול
606|2|en|Guard Earth and Advanced Reconnaissance Fighter Dendo
5511|2|en|Guardian Fairy Michel
783|1|x-jat|Guardian Hearts
783|4|de|Guardian Hearts
3069|1|x-jat|Guardian Hearts Power UP!
946|4|en|Guardian of Darkness
4403|2|en|Guardian of the Sacred Spirit
4403|4|de|Guardian of the Spirit
4403|2|pt|Guardião do Espírito Sagrado
1690|3|x-jat|guardress
8661|1|x-jat|Gudaguda Fairies
9473|1|x-jat|Gudaguda Fairies 2
2790|4|en|Gude Crest - The Emblem of Gude
1567|2|it|Guerra al Bay City Hotel
77|2|pt-BR|Guerra das Galáxias
127|4|pt-BR|Guerreiras Mágicas de Rayearth
423|2|pt|Guerreiras Mágicas de Rayearth OVA
1282|3|x-jat|guf
2039|4|ja|GU-GU ガンモ
1935|4|ja|Gu-Guガンモ
1935|4|fr|Gu Gu Ganmo
1935|1|x-jat|Gu-Gu Ganmo
2039|1|x-jat|Gu-Gu Ganmo (1985)
8442|1|x-zht|Gu Huo Xiang Jia Tou
1855|1|x-jat|Guilstein
8480|4|en|Guilty Crown
8480|4|de|Guilty Crown
8480|4|fr|Guilty Crown
8480|1|x-jat|Guilty Crown
9092|1|x-jat|Guilty Crown: Lost Christmas - An Episode of Port Town
6331|1|x-jat|Guin Saga
6331|4|en|Guin Saga
2494|1|x-jat|Guitar o Motta Shounen: Kikaider VS Inazuman
2099|3|x-jat|Gulliver Boy
6732|1|x-jat|Gulliver Funtouki
2203|1|x-jat|Gulliver no Uchuu Ryokou
6732|2|en|Gulliver`s Great Activities
2203|2|en|Gulliver`s Space Travels: Beyond the Moon
4125|3|x-jat|GUMS
4932|2|tr|Günahkarlar Bahçesi
185|4|en|Gunbuster
185|4|fr|Gunbuster
185|4|de|Gunbuster
185|2|en|gunbuster 1
2120|4|fr|Gunbuster 2
2120|4|en|Gunbuster 2
4527|2|en|Gunbuster 2 Movie
4526|2|en|Gunbuster Movie
715|4|it|Gundam
916|4|ja|∀GUNDAM
5252|3|x-jat|Gundam 00
729|2|en|Gundam 0079 Movie Trilogy Part I
4166|2|en|Gundam 0079 Movie Trilogy Part II
4167|2|en|Gundam 0079 Movie Trilogy Part III
716|2|en|Gundam 0080: War in the Pocket
717|2|en|Gundam 0083: Stardust Memories
2009|3|en|Gundam 0083: The Last Blitz of Zeon
626|2|en|Gundam 0123: Formula 91
217|2|en|Gundam 08th MS Team
715|2|x-jat|gundam1
715|3|x-jat|gundam 79
8494|3|x-jat|Gundam AGE
6517|2|lt|Gundamas: Vienaragis
9960|3|x-jat|Gundam BF
9960|1|x-jat|Gundam Build Fighters
720|2|en|Gundam: Char`s Counterattack
5252|2|no|Gundam dobbelt null
5252|2|en|Gundam Double O
5903|2|en|Gundam Double O 2nd Season
5252|2|en|Gundam Double Oh
5903|2|en|Gundam Double Oh 2nd Season
1125|1|x-jat|Gundam Evolve
626|2|x-jat|Gundam F91
626|2|x-jat|Gundam Formula 91
2813|2|x-unk|∀Gundam I: Earth Light
2812|2|ja|∀Gundam II
4741|4|ja|GUNDAM Mission to the Rise
4741|1|x-jat|Gundam: Mission to the Rise
2440|1|x-jat|Gundam Neo Experience: 0087- Green Divers
720|4|pl|Gundam - Odwet Chara
252|3|x-jat|Gundam S
252|3|x-jat|Gundam SEED
2186|2|x-jat|Gundam Seed 2
4169|2|de|Gundam SEED - Das leere Schlachtfeld
2186|2|x-jat|Gundam Seed Destiny
4170|2|x-jat|Gundam SEED DESTINY 2
4758|2|en|Gundam Seed Destiny - Flames of Destiny
4905|2|en|Gundam Seed Destiny - Price of Freedom
4457|2|en|Gundam Seed Destiny - The Shattered World
252|2|en|Gundam SEED TV
6517|3|x-jat|gundam unicorn
229|3|x-jat|Gundam W
908|4|ja|GUNDAM-W Endless Waltz
908|1|x-jat|Gundam-W: Endless Waltz
229|4|pt-BR|Gundam Wing
229|4|es-LA|Gundam Wing
229|2|x-jat|Gundam Wing
229|4|nl|Gundam Wing
229|4|de|Gundam Wing
229|4|el|Gundam Wing
908|4|de|Gundam Wing - Endless Waltz
908|4|es-LA|Gundam Wing: Endless Waltz
908|4|pl|Gundam Wing: Endless Waltz
496|4|en|Gundam Wing: Endless Waltz
496|2|en|Gundam Wing: Endless Waltz Movie
908|4|en|Gundam Wing Endless Waltz OVA
2853|2|en|Gundam Wing: Odd & Even Numbers
2853|2|en|Gundam Wing: Operation Meteor
229|2|en|Gundam Wing TV
755|3|x-jat|Gundam X
719|3|en|Gundam ZZ
4459|2|x-jat|Gun-do Musashi
4459|1|x-jat|Gun-dou Musashi
1304|2|en|Gundress
1304|1|x-jat|Gundress
1209|4|fr|Gun Frontier
1209|4|pt-BR|Gun Frontier
1209|4|ja|GUN FRONTIER
1209|1|x-jat|Gun Frontier
1003|4|de|Gungrave
1003|4|fr|Gungrave
1003|1|x-jat|Gungrave
1003|4|en|Gungrave
1003|4|pt|Gungrave
1304|2|ja|GUNNDRESS
147|4|fr|Gunnm
147|3|x-jat|Gunnm
9327|1|x-jat|Gunnm 3D Special
518|4|fr|Gunparade March
518|4|en|Gunparade March
518|1|x-jat|Gunparade March: Aratanaru Kougunka
518|2|en|Gunparade March - The New War Song
3465|1|x-jat|Gunparade Orchestra
7298|1|x-jat|Gunparade Orchestra: Ao no Shou - Hikari no Umi Kara Tegami o Okurimasu
7297|1|x-jat|Gunparade Orchestra: Midori no Shou - Ookami to Kare no Shounen
7296|2|en|Gunparade Orchestra OVA 1
7297|2|en|Gunparade Orchestra OVA 2
7298|2|en|Gunparade Orchestra OVA 3
7296|1|x-jat|Gunparade Orchestra: Shiro no Shou - Aomori Penguin Densetsu
4459|2|en|Gun Samurai
1002|4|en|Gunslinger Girl
1002|4|pt|Gunslinger Girl
1002|4|de|Gunslinger Girl
1002|1|x-jat|Gunslinger Girl
1002|4|it|Gunslinger Girl
1002|4|fr|Gunslinger Girl
1002|4|pl|Gunslinger Girl
1002|4|el|Gunslinger Girl
5418|4|pl|Gunslinger Girl - IL TEATRINO
5418|4|fr|Gunslinger Girl – Il Teatrino
5418|4|en|Gunslinger Girl: Il Teatrino
5418|4|de|Gunslinger Girl: Il Teatrino
5418|1|x-jat|Gunslinger Girl: Il Teatrino
6128|2|x-jat|Gunslinger Girl - Il Teatrino OVA
6128|4|en|Gunslinger Girl: Il Teatrino OVA
6128|1|x-jat|Gunslinger Girl: Il Teatrino OVA
45|1|x-jat|Gun Smith Cats
45|4|de|Gun Smith Cats
45|4|ja|GUN SMITH CATS
45|4|fr|Gunsmith Cats
45|4|en|Gunsmith Cats
2839|2|en|Gun VS Sword
2839|2|x-jat|GUNxSWORD
2839|4|fr|Gun x Sword
2839|1|x-jat|Gun x Sword
2839|4|en|Gun X Sword
4459|4|ja|GUN道 MUSASHI
9227|3|x-jat|GuP
1345|1|x-jat|Guren
510|3|x-jat|guriguri
4575|3|x-jat|Gurren
4575|3|x-jat|Gurren Lagann
4575|4|de|Gurren Lagann
4575|4|fr|Gurren Lagann
4575|4|en|Gurren Lagann
4575|4|et|Gurren Lagann
4575|2|x-jat|Gurren-Lagann
5783|2|en|Gurren-Lagann Movie: Gurren Arc
6325|2|en|Gurren-Lagann Movie: Lagann Arc
6082|1|x-jat|Gurren Lagann Parallel Works
7485|1|x-jat|Gurren Lagann Parallel Works 2
5783|4|en|Gurren Lagann the Movie -Childhood`s End-
6325|4|en|Gurren Lagann the Movie -The Lights in the Sky Are Stars-
311|3|x-jat|guruguru
311|2|x-jat|Guru Guru
1619|3|x-jat|guruguru2
311|4|it|Guru Guru Il Girotondo della Magia
4669|1|x-jat|Guru Guru Town Hanamaru-kun
6572|1|x-jat|Guskou Budori no Denki
8922|1|x-jat|Guskou Budori no Denki (2012)
5459|3|en|gu trilogy
228|3|x-jat|Guu
317|3|x-jat|Guu Deluxe
1282|3|x-jat|guu final
317|3|x-jat|Guu OVA
228|3|x-jat|guu tv
2505|1|x-jat|Guy
2505|4|en|Guy Double Target
4036|2|it|Guyslagger
4036|2|en|Guyslugger
2125|2|x-jat|Guystars: Fractions of the Earth
619|4|fr|Guyver
619|3|x-jat|Guyver
3185|4|fr|Guyver (2005)
1412|4|en|Guyver: Out of Control
5060|4|fr|Guyver (suite)
3185|4|de|Guyver - The Bioboosted Armor
3185|4|en|Guyver: The Bioboosted Armor
3185|3|en|Guyver tv
2329|4|pl|Guziczek
5092|4|pt-BR|Guzula
229|3|x-jat|GW
2068|3|fr|Gwendoline
2068|4|fr|Gwendoline - Saison 1
2067|4|fr|Gwendoline - Saison 2
229|3|x-jat|gwtv
2766|4|th|เกมกลคนอัจฉริยะ ดูเอลมอนสเตอร์ GX
358|3|x-jat|GXP
2839|3|x-jat|GxS
2766|4|he|GX !יוגי-הו
2827|3|x-jat|gyagu
2827|3|x-jat|gyagumanga
2827|2|x-jat|Gyagu Manga Biyori
7242|2|x-jat|Gyagu Manga Biyori +
4558|2|ja|Gyagu Manga Biyori 2
5774|2|en|Gyagu Manga Biyori 3
8242|1|x-jat|Gyakkyou Burai Kaiji: Hakairoku Hen
5427|1|x-jat|Gyakkyou Burai Kaiji: Ultimate Survivor
5855|4|x-kot|Gyeoul yeonga
8315|1|x-jat|Gyo
8315|4|de|Gyo - Der Tod aus dem Meer
8315|4|en|Gyo: Tokyo Fish Attack!
2238|1|x-jat|Gyouten Ningen Batsealer
7382|2|lt|Gyvųjų Numirėlių Mokykla
4736|4|ja|G-九
1652|4|ja|グレンダイザー・ゲッターロボG・グレートマジンガー 決戦! 大海獣
8574|4|ja|G線上の悲劇
8178|2|ko|스위트 홈: H한 누나 좋아해?
8029|2|ko|아키나와 온천에서 H하자
7303|2|ko|아가씨는 H를 좋아해
352|1|x-jat|H2
352|4|fr|H2
352|4|ja|H2[エイチ・ツー]
5508|2|bg|H20: Стъпки в пясъка
5508|2|zh-Hans|H20 ～沙滩上的足迹～
5508|3|x-jat|H2O
5508|4|ja|H2O ~FOOTPRINTS IN THE SAND~
5508|1|x-jat|H2O: Footprints in the Sand
5508|2|hu|H2O - Lábnyomok a Homokban
5508|2|pl|H2O ~Ślady stóp na piasku~
5508|2|sk|H2O - Stopy v piesku
5508|2|ar|H2O: آثار خطوات على الرمال
5508|2|ru|H2O: Следы на песке
3301|3|x-jat|H7
5025|3|en|ha
1936|1|x-jat|Haai Step Jun
353|2|ja|Habitat Ground Jewdo
2835|3|x-jat|HachiKuro
4422|3|x-jat|hachikuro2
4422|3|x-jat|Hachikuro II
2835|2|x-jat|Hachimitsu & Clover
2835|1|x-jat|Hachimitsu to Clover
4422|1|x-jat|Hachimitsu to Clover II
2835|2|x-jat|Hachimitsu to Kuroba
4422|2|x-jat|Hachimitsu to Kuroba II
24|3|x-jat|hack
447|4|pt-BR|.hack//A Lenda do Bracelete do Crepúsculo
8606|2|en|.hack//Beyond the World
447|4|pl|.hack//Bransoleta Zmierzchu
447|3|x-jat|hackDUSK
447|2|x-jat|.hack//DUSK
1135|1|x-jat|.hack//GIFT
1135|4|en|.hack//gift
1135|4|ja|.hack//GIFT
1135|2|x-jat|Hack//Gift
5391|4|ja|.hack//G.U. Returner
5391|1|x-jat|.hack//G.U. Returner
5459|1|x-jat|.hack//G.U. Trilogy
5459|4|fr|.hack//G.U. Trilogy
5459|4|en|.hack//G.U. Trilogy
5459|4|ja|.hack//G.U. Trilogy
5459|2|uk|.hack//G.U. Трилогія
447|4|fr|.hack//Legend of the Twilight
447|4|en|.hack//Legend of the Twilight
447|4|de|.hack//Legend of the Twilight
447|2|en|.hack//Legend of the Twilight Bracelet
222|3|x-jat|HackLim
222|4|ja|.hack//Liminality
222|4|fr|.hack//Liminality
222|1|x-jat|.hack//Liminality
222|2|x-jat|hack//Liminality
447|3|en|hack lotb
7883|2|vi|.hack//Lượng tử
222|3|x-jat|HackOVA
7883|4|ja|.hack//Quantum
7883|4|en|.hack//Quantum
7883|4|de|.hack//Quantum
7883|1|x-jat|.hack//Quantum
4324|4|fr|.hack//Roots
4324|1|x-jat|.hack//Roots
4324|4|ja|.hack//Roots
4324|3|x-jat|hack roots
4324|2|x-jat|hack//Roots
8606|1|x-jat|.hack//Sekai no Mukou ni
24|3|x-jat|hackSIGN
24|4|pt-BR|.hack//SIGN
24|2|ro|.hack//SIGN
24|4|fr|.hack//SIGN
24|4|ja|.hack//SIGN
24|4|de|.hack//SIGN
24|1|x-jat|.hack//SIGN
24|2|x-jat|hack sign
24|2|x-jat|hack//SIGN
447|1|x-jat|.hack//Tasogare no Udewa Densetsu
8606|2|en|.hack//The Movie
447|3|x-jat|hack tud
447|3|x-jat|.hack//Udeden
447|3|x-jat|Hack Udeden
4324|2|uk|.hack// Початок
447|4|ja|.hack//黄昏の腕輪伝説
3368|4|fr|Hacou l`abeille
9111|1|x-jat|Hadakya no Otonosama
627|1|x-jat|Hadashi no Gen
2011|1|x-jat|Hadashi no Gen 2
1005|4|en|Hades Project Zeorymer
9594|2|en|Haedol`s Adventure
9594|1|x-kot|Haedori Daemoheom
9647|1|x-kot|Haejeotamheomdae Marin X
6257|2|tr|Hafif Müzik Kulübü
8419|3|x-jat|haganai
8419|4|en|Haganai
9342|3|x-jat|Haganai 2
9342|3|x-jat|Haganai Next
9342|4|en|Haganai Next
8522|3|x-jat|haganai ova
9206|3|x-jat|haganai ova 2
979|1|x-jat|Hagane no Renkinjutsushi
6107|1|x-jat|Hagane no Renkinjutsushi (2009)
8090|1|x-jat|Hagane no Renkinjutsushi: Milos no Seinaru Hoshi
979|3|x-jat|HagaRen
6107|3|x-jat|hagaren2
6107|3|x-jat|HagaRen (2009)
2359|3|x-jat|hagaren movie
2359|2|x-jat|Hagaren The Movie
8090|2|x-jat|Hagaren the Movie (2011)
979|3|x-jat|HagaRen TV
2272|1|x-jat|Haguregumo
9015|1|x-jat|Hagure Yuusha no Aesthetica
9015|2|x-jat|Hagure Yuusha no Estetica
1383|3|x-jat|haha
9385|2|x-jat|Haha Musume Donburi: Oppai Tokumori Bonyuu Shiru Dakude
1383|1|x-jat|Haha o Tazunete Sanzenri
4751|1|x-jat|Haha o Tazunete Sanzenri (1980)
7222|1|x-jat|Haha Sange
5960|1|x-jat|Hai! Akko Desu
271|3|x-jat|Haibane
271|4|en|Haibane Renmei
271|1|x-jat|Haibane Renmei
271|4|de|Haibane Renmei - Ailes Grises
271|4|pl|Haibane renmei: Stowarzyszenie szaropiórych
8096|3|x-jat|haideka
8088|1|x-jat|Haido Keibu no Jikenbo: Hitokui-Yama
2019|1|x-jat|Haikara-san ga Tooru
640|2|x-jat|haiki oujo
10145|1|x-jat|Haikyuu!!
2465|1|x-jat|Hainuwele Shuukaku no Yoru
1936|2|x-jat|Hai Step Jun
9295|1|x-jat|Haitai Nanafa
9747|1|x-jat|Haitai Nanafa (2013)
658|1|x-jat|Haitoku no Shoujo
4081|1|x-jat|Haitoku Tsuma
4081|2|x-jat|Haitokuzuma
9459|3|x-jat|Haiyore 2
8719|2|x-jat|Haiyore! Nyarlko-san
9459|2|x-unk|Haiyore! Nyarlko W
8719|1|x-jat|Haiyore! Nyaruko-san
9459|2|x-jat|Haiyore! Nyaruko-san 2
9459|1|x-jat|Haiyore! Nyaruko-san W
7316|1|x-jat|Haiyoru! Nyaruani
7992|1|x-jat|Haiyoru! Nyaruani: Remember My Love(craft-sensei)
7992|2|en|Haiyoru! Nyaruani: Remember My (Mr.) Love(craft)
7992|2|en|Haiyoru! Nyaruani: Remember My Mr. Lovecraft
479|1|x-jat|Haja Kyosei G Dangaiou
919|2|x-jat|Hajataisei Dangaio
919|2|x-jat|Hajataisei Dangaioh
919|1|x-jat|Haja Taisei Dangaiou
1478|1|x-jat|Hajimari no Boukensha-tachi: Legend of Crystania
3625|2|x-jat|Hajime Ningen Gatorus
3625|2|x-jat|Hajime Ningen Giatrus
4683|1|x-jat|Hajime Ningen Gon
3625|1|x-jat|Hajime Ningen Gyatoruz
129|2|x-jat|Hajime no Ippo
982|1|x-jat|Hajime no Ippo: Champion Road
1086|1|x-jat|Hajime no Ippo: Mashiba vs Kimura - Shikei Shikkou
129|1|x-jat|Hajime no Ippo: The Fighting
6153|1|x-jat|Hajime no Ippo: The Fighting - New Challenger
9982|1|x-jat|Hajime no Ippo: The Fighting! - Rising
7346|1|x-jat|Hajimete no Christmas
5614|1|x-jat|Hakaba Kitarou
301|4|ro|Hakaima Sadamitsu
